MetricRole,Metric,NoisePercent,TechniqueA,TechniqueB,AverageRankA,AverageRankB,RankDifferenceAbs,CrossProjectMeanA,CrossProjectMeanB,MeanDifferenceAminusB,BetterByAverageRank,NemenyiSE,QDemšar,QStudentizedRange,NemenyiPValue,NemenyiAlpha,CriticalDifference,SignificantNemenyi
SECONDARY,APFD,10,RandomForest,XGBoost,3.0833333333333335,2.5,0.58333333333333348,0.67071915691501893,0.71378721486699848,-0.043068057951979544,XGBoost,0.37267799624996495,1.5652475842498532,2.2135943621178664,0.39863136331743243,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,10,RandomForest,LightGBM,3.0833333333333335,2.5833333333333335,0.5,0.67071915691501893,0.71403304468222994,-0.043313887767211012,LightGBM,0.37267799624996495,1.3416407864998738,1.8973665961010278,0.53628696835234824,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,10,RandomForest,NaiveBayes,3.0833333333333335,1.8333333333333333,1.2500000000000002,0.67071915691501893,0.7716997559860439,-0.10098059907102497,NaiveBayes,0.37267799624996495,3.3541019662496852,4.74341649025257,0.0044263982632981591,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,10,XGBoost,LightGBM,2.5,2.5833333333333335,0.083333333333333481,0.71378721486699848,0.71403304468222994,-0.00024582981523146863,XGBoost,0.37267799624996495,0.22360679774997938,0.31622776601683855,0.99605875374064279,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,10,XGBoost,NaiveBayes,2.5,1.8333333333333333,0.66666666666666674,0.71378721486699848,0.7716997559860439,-0.057912541119045424,NaiveBayes,0.37267799624996495,1.7888543819998319,2.529822128134704,0.27863887539513699,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,10,LightGBM,NaiveBayes,2.5833333333333335,1.8333333333333333,0.75000000000000022,0.71403304468222994,0.7716997559860439,-0.057666711303813956,NaiveBayes,0.37267799624996495,2.0124611797498115,2.8460498941515429,0.18328657955037853,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,15,RandomForest,XGBoost,3.0416666666666665,2.75,0.29166666666666652,0.63420645653618135,0.67399316593574587,-0.039786709399564524,XGBoost,0.37267799624996495,0.78262379212492594,1.1067971810589321,0.86238257827487441,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,15,RandomForest,LightGBM,3.0416666666666665,2.4583333333333335,0.58333333333333304,0.63420645653618135,0.68907706784676848,-0.054870611310587125,LightGBM,0.37267799624996495,1.5652475842498519,2.2135943621178642,0.39863136331743343,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,15,RandomForest,NaiveBayes,3.0416666666666665,1.75,1.2916666666666665,0.63420645653618135,0.73241703070576758,-0.098210574169586229,NaiveBayes,0.37267799624996495,3.4659053651246738,4.9015303732609876,0.0029694369900498119,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,15,XGBoost,LightGBM,2.75,2.4583333333333335,0.29166666666666652,0.67399316593574587,0.68907706784676848,-0.015083901911022601,LightGBM,0.37267799624996495,0.78262379212492594,1.1067971810589321,0.86238257827487441,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,15,XGBoost,NaiveBayes,2.75,1.75,1,0.67399316593574587,0.73241703070576758,-0.058423864770021705,NaiveBayes,0.37267799624996495,2.6832815729997477,3.7947331922020555,0.036648442860974573,0.050000000000000003,0.95742161329511866,True
SECONDARY,APFD,15,LightGBM,NaiveBayes,2.4583333333333335,1.75,0.70833333333333348,0.68907706784676848,0.73241703070576758,-0.043339962858999104,NaiveBayes,0.37267799624996495,1.9006577808748217,2.6879360111431234,0.22769676258145188,0.050000000000000003,0.95742161329511866,False
SECONDARY,APFD,20,RandomForest,XGBoost,3.2083333333333335,2.7083333333333335,0.5,0.60361933945736024,0.63588842832461367,-0.032269088867253437,XGBoost,0.37267799624996495,1.3416407864998738,1.8973665961010278,0.53628696835234824,0.050000000000000003,0.95742161329511866,False
